Date,Sessions
2014-07-06,13.10849769154269
2014-07-07,13.528851961582133
2014-07-08,13.62558053002188
2014-07-09,13.64437935495637
2014-07-10,13.665092237543279
2014-07-11,13.345116452492618
2014-07-12,13.08177052329607
2014-07-13,13.368243287628395
2014-07-14,13.448646740437603
2014-07-15,13.280038695532625
2014-07-16,13.325302588746625
2014-07-17,13.388471394507292
2014-07-18,13.081758026081909
2014-07-19,13.178322071868699
2014-07-20,13.140207224798024
2014-07-21,13.727830593883734
2014-07-22,13.66611687897941
2014-07-23,13.586159026957223
2014-07-24,13.541284216420749
2014-07-25,13.686881415367093
2014-07-26,13.123111097791753
2014-07-27,13.281240583870973
2014-07-28,13.624785792905564
2014-07-29,13.592738187753834
2014-07-30,13.406222652267438
2014-07-31,13.583106762632195
